district_code,district_name,localbody_code,localbody_name
306,PURBA BARDHAMAN,108490,RAMNAGAR
319,MURSHIDABAD,110532,RAMNAGAR BACHARA
320,NADIA,110808,RAMNAGAR BARACHUPRIA-I
320,NADIA,244954,RAMNAGAR BARACHUPRIA-II
304,24 PARAGANAS SOUTH,108175,RAMNAGAR-GAZIPUR
304,24 PARAGANAS SOUTH,107989,RAMNAGAR-I
320,NADIA,110907,RAMNAGAR-I
320,NADIA,110908,RAMNAGAR-II
304,24 PARAGANAS SOUTH,107990,RAMNAGAR-II
310,DINAJPUR DAKSHIN,109246,RAMPARA CHENCHRA
319,MURSHIDABAD,110533,RAMPARA-I
319,MURSHIDABAD,110534,RAMPARA-II
704,PASCHIM BARDHAMAN,108697,RAMPRASADPUR
311,DINAJPUR UTTAR,109343,RAMPUR
307,BIRBHUM,108831,RAMPUR
313,HOWRAH,109691,RAMPUR-DIHIBHUSUT ASANDA
308,COOCHBEHAR,109047,RAMPUR-I
308,COOCHBEHAR,109048,RAMPUR-II
305,BANKURA,108399,RAMSAGAR
314,JALPAIGURI,109836,RAMSHAI
303,24 PARAGANAS NORTH,107806,RANAGHAT
304,24 PARAGANAS SOUTH,108126,RANGABELIA
664,Alipurduar,109803,RANGALIBAJNA
314,JALPAIGURI,109816,RANGAMATI
319,MURSHIDABAD,110552,RANGAMATI CHANDPARA
321,PURULIA,111038,RANGAMATI-RANJANDIH
309,DARJEELING,260995,RANGBHANG GOPALDHARA
309,DARJEELING,260996,RANGBUL
304,24 PARAGANAS SOUTH,108189,RANGILBAD
309,DARJEELING,260965,RANGIT-I
309,DARJEELING,260966,RANGIT-II
309,DARJEELING,261057,RANGLI
304,24 PARAGANAS SOUTH,108064,RANIA
305,BANKURA,108427,RANIBANDH
318,MEDINIPUR WEST,110294,RANICHAK
311,DINAJPUR UTTAR,109329,RANIGANJ
316,MALDAH,109899,RANIGANJ-I
316,MALDAH,109900,RANIGANJ-II
309,DARJEELING,109133,RANIGANJ-PANISHALI
319,MURSHIDABAD,110706,RANINAGAR
319,MURSHIDABAD,110730,RANINAGAR-I
319,MURSHIDABAD,110731,RANINAGAR-II
