district_code,district_name,localbody_code,localbody_name
320,NADIA,110816,NAGARUKHRA-I
320,NADIA,110817,NAGARUKHRA-II
304,24 PARAGANAS SOUTH,108237,NAGENDRAPUR
304,24 PARAGANAS SOUTH,108046,NAHAJARI
317,MEDINIPUR EAST,110114,NAICHANPUR-I
317,MEDINIPUR EAST,110115,NAICHANPUR-II
304,24 PARAGANAS SOUTH,108208,NAINAN
317,MEDINIPUR EAST,110171,NAIPUR
312,HOOGHLY,109549,NAITAMALPAHARPUR
312,HOOGHLY,109390,NAITI
308,COOCHBEHAR,108975,NAJIRHAT-I
310,DINAJPUR DAKSHIN,109191,NAJIRPUR
305,BANKURA,108394,NAKAIJURI
320,NADIA,110898,NAKASHIPARA
308,COOCHBEHAR,109037,NAKKATIGACHH
313,HOWRAH,109680,NAKOL
307,BIRBHUM,108790,NAKRAKONDA
309,DARJEELING,109163,NAKSHALBARI
312,HOOGHLY,109424,NAKUNDA
318,MEDINIPUR WEST,110334,NALBONA
304,24 PARAGANAS SOUTH,108149,NALGORA
312,HOOGHLY,109445,NALIKULPASCHIM
312,HOOGHLY,109446,NALIKULPURBA
313,HOWRAH,109658,NALPUR
304,24 PARAGANAS SOUTH,108227,NALUA
304,24 PARAGANAS SOUTH,108245,NAMKHANA
307,BIRBHUM,108782,NANASOLE
306,PURBA BARDHAMAN,108595,NANDAI
304,24 PARAGANAS SOUTH,108238,NANDAKUMARPUR
310,DINAJPUR DAKSHIN,109206,NANDANPUR
320,NADIA,110845,NANDANPUR
318,MEDINIPUR WEST,110275,NANDANPUR-I
318,MEDINIPUR WEST,110276,NANDANPUR-II
317,MEDINIPUR EAST,110029,NANDAPURBARAGHUNI
307,BIRBHUM,108845,NANDIGRAM
317,MEDINIPUR EAST,110139,NANDIGRAM
319,MURSHIDABAD,110697,NAODA
311,DINAJPUR UTTAR,109285,NAODA
316,MALDAH,109940,NAODA-JADUPUR
319,MURSHIDABAD,110547,NAODAPANUR
321,PURULIA,111082,NAPARA
318,MEDINIPUR WEST,110490,NARAYANBARH
318,MEDINIPUR WEST,110454,NARAYANGARH
304,24 PARAGANAS SOUTH,108137,NARAYANITALA
307,BIRBHUM,108888,NARAYANPUR
319,MURSHIDABAD,110687,NARAYANPUR
304,24 PARAGANAS SOUTH,108246,NARAYANPUR
304,24 PARAGANAS SOUTH,108014,NARAYANPUR
304,24 PARAGANAS SOUTH,108082,NARAYANPUR
305,BANKURA,108410,NARAYANPUR
320,NADIA,110846,NARAYANPUR-I
320,NADIA,110847,NARAYANPUR-II
312,HOOGHLY,109447,NARAYANPURBAHIRKHANDA
316,MALDAH,109886,NARHATTA
318,MEDINIPUR WEST,110455,NARMA
313,HOWRAH,109617,NARNA
305,BANKURA,108299,NARRAH
306,PURBA BARDHAMAN,108725,NARUGRAM
319,MURSHIDABAD,110670,NASHIPUR
319,MURSHIDABAD,110559,NASHIPUR
312,HOOGHLY,109534,NASIBPUR
304,24 PARAGANAS SOUTH,108062,NASKARPUR
306,PURBA BARDHAMAN,108710,NASRATPUR
308,COOCHBEHAR,109038,NATABARI-I
308,COOCHBEHAR,109039,NATABARI-II
312,HOOGHLY,109478,NATIBPUR-I
312,HOOGHLY,109479,NATIBPUR-II
320,NADIA,110848,NATIDANGA-I
320,NADIA,110849,NATIDANGA-II
320,NADIA,110939,NATNA
317,MEDINIPUR EAST,110107,NATSHAL-I
317,MEDINIPUR EAST,243875,NATSHAL-II
306,PURBA BARDHAMAN,108726,NATU
319,MURSHIDABAD,110678,NATUNGRAM
307,BIRBHUM,108872,NAWANAGAR-KADDA
318,MEDINIPUR WEST,110491,NAWGAON
320,NADIA,110905,NAWPARA MASUNDA
318,MEDINIPUR WEST,110335,NAYABASAT
303,24 PARAGANAS NORTH,107794,NAYABASTIA MILANI
703,Jhargram,110469,NAYAGRAM
309,DARJEELING,260964,NAYANOR
319,MURSHIDABAD,110618,NAYANSUKH
317,MEDINIPUR EAST,110036,NAYAPUT
308,COOCHBEHAR,109002,NAYARHAT
303,24 PARAGANAS NORTH,107955,NAZAT-I
303,24 PARAGANAS NORTH,107956,NAZAT-II
316,MALDAH,109975,NAZEERPUR
703,Jhargram,110383,NEDABAHARA
318,MEDINIPUR WEST,110439,NEELDA
702,KALIMPONG,261007,NEEMBONG
703,Jhargram,110231,NEPURA
304,24 PARAGANAS SOUTH,108153,NETAJI
304,24 PARAGANAS SOUTH,108092,NETRA
305,BANKURA,108442,NETURPUR
664,Alipurduar,109791,NEWLAND KUMARGRAM SANKOSH
306,PURBA BARDHAMAN,108656,NIGAN
311,DINAJPUR UTTAR,109260,NIJAMPUR-I
311,DINAJPUR UTTAR,109261,NIJAMPUR-II
308,COOCHBEHAR,108976,NIJIRHAT-II
317,MEDINIPUR EAST,110085,NIJKASBA
304,24 PARAGANAS SOUTH,108075,NIKARIGHATA
305,BANKURA,108395,NIKUNJAPUR
321,PURULIA,111114,NILDIH
317,MEDINIPUR EAST,110216,NILKUNTHIA
702,KALIMPONG,260977,NIM
306,PURBA BARDHAMAN,108719,NIMDAHA
303,24 PARAGANAS NORTH,107841,NIMDARIA KODALIA
306,PURBA BARDHAMAN,108681,NIMO-I
306,PURBA BARDHAMAN,108682,NIMO-II
319,MURSHIDABAD,110749,NIMTITA
306,PURBA BARDHAMAN,108625,NIROL
304,24 PARAGANAS SOUTH,108219,NISAPUR
313,HOWRAH,109603,NISCHINDA
304,24 PARAGANAS SOUTH,108053,NISCHINTAPUR
318,MEDINIPUR WEST,110292,NISHCHINTAPUR
308,COOCHBEHAR,108990,NISHIGANJ-I
308,COOCHBEHAR,108991,NISHIGANJ-II
306,PURBA BARDHAMAN,108512,NITYANANDAPUR
305,BANKURA,108334,NITYANANDAPUR
319,MURSHIDABAD,110548,NIYALLISPARA GOALJAN
318,MEDINIPUR WEST,110277,NIZNARAJOL
308,COOCHBEHAR,109010,NIZTAROF
307,BIRBHUM,108862,NOAPARA
320,NADIA,110873,NOAPARA-I
320,NADIA,110874,NOAPARA-II
320,NADIA,110920,NOKARI
304,24 PARAGANAS SOUTH,108063,NORTH BAWALI
703,Jhargram,110356,NOTA
321,PURULIA,111026,NOWAHATU
321,PURULIA,111017,NOYADIH
313,HOWRAH,109577,NOYAPARA
304,24 PARAGANAS SOUTH,108114,NOYAPUKURIA
704,PASCHIM BARDHAMAN,108497,NUNI
303,24 PARAGANAS NORTH,107881,NURNAGAR
304,24 PARAGANAS SOUTH,108099,NURPUR
319,MURSHIDABAD,110756,NURPUR
316,MALDAH,109976,NURPUR
321,PURULIA,111108,NUTANDI
321,PURULIA,111115,NUTANDIH
314,JALPAIGURI,109814,ODLABARI
308,COOCHBEHAR,108963,OKRABARI
305,BANKURA,108396,ONDA-I
305,BANKURA,108397,ONDA-II
313,HOWRAH,109595,ORPHOOLI
317,MEDINIPUR EAST,110030,OSMANPUR
305,BANKURA,108434,PABRA
702,KALIMPONG,261008,PABRINGTAR
308,COOCHBEHAR,109003,PACHAGARH
319,MURSHIDABAD,110658,PADAMKANDI
314,JALPAIGURI,109834,PADAMOTI-I
314,JALPAIGURI,109835,PADAMOTI-II
317,MEDINIPUR EAST,110184,PADIMA-I
317,MEDINIPUR EAST,110185,PADIMA-II
307,BIRBHUM,108772,PADUMA
317,MEDINIPUR EAST,110217,PADUMPUR-I
