district_code,district_name,block_code,block_name
320,NADIA,3034,KRISHNAGANJ
320,NADIA,3035,KRISHNAGAR-I
320,NADIA,3036,KRISHNAGAR-II
304,24 PARAGANAS SOUTH,2762,KULPI
304,24 PARAGANAS SOUTH,2763,KULTALI
310,DINAJPUR DAKSHIN,2875,KUMARGANJ
664,Alipurduar,2925,KUMARGRAM
309,DARJEELING,2864,KURSEONG
310,DINAJPUR DAKSHIN,2876,KUSHMANDI
307,BIRBHUM,2831,LABPUR
319,MURSHIDABAD,3015,LALGOLA
702,KALIMPONG,7354,Lava
664,Alipurduar,2926,MADARIHAT
304,24 PARAGANAS SOUTH,2764,MAGRA HAT-I
304,24 PARAGANAS SOUTH,2765,MAGRA HAT-II
317,MEDINIPUR EAST,2959,MAHISHADAL
314,JALPAIGURI,2927,MAL
321,PURULIA,3054,MANBAZAR-I
321,PURULIA,3055,MANBAZAR-II
304,24 PARAGANAS SOUTH,2766,MANDIRBAZAR
306,PURBA BARDHAMAN,2815,MANGOLKOTE
316,MALDAH,2943,MANIKCHAK
306,PURBA BARDHAMAN,2816,MANTESWAR
308,COOCHBEHAR,2851,MATHABHANGA II
308,COOCHBEHAR,2852,MATHABHANGA-I
304,24 PARAGANAS SOUTH,2767,MATHURAPUR I
304,24 PARAGANAS SOUTH,2768,MATHURAPUR-II
314,JALPAIGURI,2928,MATIALI
309,DARJEELING,2865,MATIGARA
314,JALPAIGURI,2929,MAYNAGURI
307,BIRBHUM,2832,MAYURESWAR-I
307,BIRBHUM,2833,MAYURESWAR-II
305,BANKURA,2785,MEJHIA
308,COOCHBEHAR,2853,MEKLIGANJ
306,PURBA BARDHAMAN,2817,MEMARI-1
306,PURBA BARDHAMAN,2818,MEMARI-II
318,MEDINIPUR WEST,2993,MIDNAPORE
303,24 PARAGANAS NORTH,2740,MINAKHAN
309,DARJEELING,2866,MIRIK
307,BIRBHUM,2834,MOHAMMAD BAZAR
318,MEDINIPUR WEST,2994,MOHANPUR
317,MEDINIPUR EAST,2960,MOYNA
307,BIRBHUM,2835,MURARAI-I
307,BIRBHUM,2836,MURARAI-II
319,MURSHIDABAD,3016,MURSHIDABAD-JIAGUNJ
320,NADIA,3037,NABADWIP
319,MURSHIDABAD,3017,NABAGRAM
314,JALPAIGURI,2930,NAGRAKATA
320,NADIA,3038,NAKASHIPARA
307,BIRBHUM,2837,NALHATI-I
307,BIRBHUM,2838,NALHATI-II
304,24 PARAGANAS SOUTH,2769,NAMKHANA
317,MEDINIPUR EAST,2961,NANDAKUMAR
317,MEDINIPUR EAST,2962,NANDIGRAM-I
317,MEDINIPUR EAST,2963,NANDIGRAM-II
307,BIRBHUM,2839,NANOOR
318,MEDINIPUR WEST,2995,NARAYANGARH
319,MURSHIDABAD,3018,NAWDA
309,DARJEELING,2867,NAXAL BARI
703,Jhargram,2996,NAYAGRAM
321,PURULIA,3056,NETURIA
316,MALDAH,2944,OLD MALDA
305,BANKURA,2786,ONDA
704,PASCHIM BARDHAMAN,2819,ONDAL
313,HOWRAH,2912,PANCHLA
704,PASCHIM BARDHAMAN,2820,PANDABESWAR
312,HOOGHLY,2899,PANDUA
317,MEDINIPUR EAST,2964,PANSKURA-I
321,PURULIA,3057,PARA
317,MEDINIPUR EAST,2965,PATASHPUR-I
317,MEDINIPUR EAST,2966,PATASHPUR-II
304,24 PARAGANAS SOUTH,2770,PATHAR PRATIMA
305,BANKURA,2787,PATRASAYER
309,DARJEELING,2868,PHANSIDEWA
318,MEDINIPUR WEST,2997,PINGLA
312,HOOGHLY,2900,POLBA-DADPUR
321,PURULIA,3058,PUNCHA
306,PURBA BARDHAMAN,2821,PURBASTHALI-I
306,PURBA BARDHAMAN,2822,PURBASTHALI-II
312,HOOGHLY,2901,PURSURAH
321,PURULIA,3059,PURULIA-I
321,PURULIA,3060,PURULIA-II
702,KALIMPONG,7355,Pedong
321,PURULIA,3061,RAGHUNATH PUR-I
319,MURSHIDABAD,3019,RAGHUNATHGANJ-I
319,MURSHIDABAD,3020,RAGHUNATHGANJ-II
321,PURULIA,3062,RAGHUNATHPUR-II
311,DINAJPUR UTTAR,2886,RAIGANJ
306,PURBA BARDHAMAN,2823,RAINA-I
306,PURBA BARDHAMAN,2824,RAINA-II
305,BANKURA,2788,RAIPUR-I
303,24 PARAGANAS NORTH,2741,RAJARHAT
314,JALPAIGURI,2931,RAJGANJ
307,BIRBHUM,2840,RAJNAGAR
317,MEDINIPUR EAST,2967,RAMNAGAR-I
317,MEDINIPUR EAST,2968,RAMNAGAR-II
307,BIRBHUM,2841,RAMPURHAT-I
307,BIRBHUM,2842,RAMPURHAT-II
320,NADIA,3039,RANAGHAT-I
320,NADIA,3040,RANAGHAT-II
309,DARJEELING,2869,RANGLI RANGLIOT
305,BANKURA,2789,RANIBUNDH
704,PASCHIM BARDHAMAN,2825,RANIGANJ
319,MURSHIDABAD,3021,RANINAGAR-I
319,MURSHIDABAD,3022,RANINAGAR-II
316,MALDAH,2945,RATUA-I
316,MALDAH,2946,RATUA-II
318,MEDINIPUR WEST,2998,SABANG
304,24 PARAGANAS SOUTH,2771,SAGAR
319,MURSHIDABAD,3023,SAGARDIGHI
307,BIRBHUM,2843,SAINTHIA
704,PASCHIM BARDHAMAN,2826,SALANPUR
318,MEDINIPUR WEST,2999,SALBANI
305,BANKURA,2790,SALTORA
303,24 PARAGANAS NORTH,2742,SANDESHKHALI-I
303,24 PARAGANAS NORTH,2743,SANDESHKHALI-II
703,Jhargram,3000,SANKRAIL
313,HOWRAH,2913,SANKRAIL
320,NADIA,3041,SANTIPUR
321,PURULIA,3063,SANTURI
305,BANKURA,2791,SARENGA
317,MEDINIPUR EAST,2969,SHAHID MATANGINI
319,MURSHIDABAD,3024,SHAMSHERGANJ
313,HOWRAH,2914,SHYAMPUR-I
313,HOWRAH,2915,SHYAMPUR-II
305,BANKURA,2792,SIMLAPAL
312,HOOGHLY,2902,SINGUR
312,HOOGHLY,2903,SIRAMPUR-UTTARPARA
308,COOCHBEHAR,2854,SITAI
308,COOCHBEHAR,2855,SITALKUCHI
305,BANKURA,2793,SONAMUKHI
304,24 PARAGANAS SOUTH,2772,SONARPUR
307,BIRBHUM,2844,SURI-I
307,BIRBHUM,2845,SURI-II
317,MEDINIPUR EAST,2970,SUTAHATA
319,MURSHIDABAD,3025,SUTI-I
319,MURSHIDABAD,3026,SUTI-II
303,24 PARAGANAS NORTH,2744,SWARUPNAGAR
305,BANKURA,2794,TALDANGRA
317,MEDINIPUR EAST,2971,TAMLUK
