district_code,district_name,subdistrict_code,subdistrict_name
307,BIRBHUM,2250,Murarai - II
319,MURSHIDABAD,2237,Murshidabad Jiaganj
320,NADIA,2307,Nabadwip
319,MURSHIDABAD,2238,Nabagram
314,JALPAIGURI,2169,Nagrakata
320,NADIA,2304,Nakashipara
307,BIRBHUM,2251,Nalhati - I
307,BIRBHUM,2252,Nalhati - II
304,24 PARAGANAS SOUTH,2439,Namkhana
317,MEDINIPUR EAST,2474,Nanda Kumar
317,MEDINIPUR EAST,2484,Nandigram - I
317,MEDINIPUR EAST,2485,Nandigram - II
307,BIRBHUM,2263,Nanoor
318,MEDINIPUR WEST,2465,Narayangarh
319,MURSHIDABAD,2243,Nawda
309,DARJEELING,2163,Naxalbari
703,Jhargram,2458,Nayagram
321,PURULIA,2383,Neturia
305,BANKURA,2370,Onda
704,PASCHIM BARDHAMAN,2272,Ondal
702,KALIMPONG,7051,PEDONG
313,HOWRAH,2405,Panchla
704,PASCHIM BARDHAMAN,2273,Pandabeswar
312,HOOGHLY,2344,Pandua
317,MEDINIPUR EAST,2470,Panskura
321,PURULIA,2380,Para
304,24 PARAGANAS SOUTH,2440,Patharpratima
305,BANKURA,2365,Patrasayer
309,DARJEELING,2164,Phansidewa
318,MEDINIPUR WEST,2463,Pingla
312,HOOGHLY,2347,Polba - Dadpur
317,MEDINIPUR EAST,2477,Potashpur - I
317,MEDINIPUR EAST,2478,Potashpur - II
321,PURULIA,2388,Puncha
306,PURBA BARDHAMAN,2283,Purbasthali - I
306,PURBA BARDHAMAN,2284,Purbasthali - II
312,HOOGHLY,2341,Pursura
321,PURULIA,2387,Purulia - I
321,PURULIA,2379,Purulia - II
319,MURSHIDABAD,2227,Raghunathganj - I
319,MURSHIDABAD,2228,Raghunathganj - II
321,PURULIA,2382,Raghunathpur - I
321,PURULIA,2381,Raghunathpur - II
311,DINAJPUR UTTAR,2196,Raiganj
306,PURBA BARDHAMAN,2296,Raina - I
306,PURBA BARDHAMAN,2298,Raina - II
305,BANKURA,2376,Raipur
303,24 PARAGANAS NORTH,2332,Rajarhat
314,JALPAIGURI,2166,Rajganj
307,BIRBHUM,2258,Rajnagar
317,MEDINIPUR EAST,2493,Ramnagar - I
317,MEDINIPUR EAST,2494,Ramnagar - II
307,BIRBHUM,2253,Rampurhat - I
307,BIRBHUM,2254,Rampurhat - II
320,NADIA,2312,Ranaghat - I
320,NADIA,2313,Ranaghat - II
