location_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,localbody_code,localbody_name,village_code,village_name,village_status,census_2011_code
MED-WB-VIL-008259,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318179,Gundoba,Inhabitant,318179.0
MED-WB-VIL-008260,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318074,Hajrapur,Inhabitant,318074.0
MED-WB-VIL-008261,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318203,Halsat,Inhabitant,318203.0
MED-WB-VIL-008262,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318174,Haridaspur,Inhabitant,318174.0
MED-WB-VIL-008263,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318158,Harulia,Inhabitant,318158.0
MED-WB-VIL-008264,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108768,HETAMPUR,318226,Hetampur,Inhabitant,318226.0
MED-WB-VIL-008265,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318156,Hosenabad,Inhabitant,318156.0
MED-WB-VIL-008266,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108768,HETAMPUR,318229,Hosenganja,Un-Inhabitant,318229.0
MED-WB-VIL-008267,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318189,Hunuri,Un-Inhabitant,318189.0
MED-WB-VIL-008268,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108768,HETAMPUR,318222,Jalalpur,Inhabitant,318222.0
MED-WB-VIL-008269,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318077,Jamthalia,Inhabitant,318077.0
MED-WB-VIL-008270,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108769,JASHPUR,318256,Jashpur,Inhabitant,318256.0
MED-WB-VIL-008271,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108774,SAHAPUR,318128,Jatra,Inhabitant,318128.0
MED-WB-VIL-008272,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318181,Jaudanga,Un-Inhabitant,318181.0
MED-WB-VIL-008273,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318191,Jhapartala,Inhabitant,318191.0
MED-WB-VIL-008274,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108774,SAHAPUR,318107,Jharia Mahammadpur,Inhabitant,318107.0
MED-WB-VIL-008275,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108771,LOBA,318236,Jhirul,Inhabitant,318236.0
MED-WB-VIL-008276,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108771,LOBA,318217,Jophlai,Inhabitant,318217.0
MED-WB-VIL-008277,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318142,Kailakuri,Inhabitant,318142.0
